138435729	22955	864857
93275189	233	347737
140184611	6460	347737
163938612	7317	347737
79420190	15974	149648
156523870	9713	1282548
101984125	821	1264157
133867313	4207	1264162
59776887	16338	1565388
99972915	6326	129391
148568845782	306	87764
66909144	12307	343588
125296840	13778	685789
106832034	16629	695833
98479122	1312	983406
115487624	12897	289475
102490289	13460	289475
133250205	21465	289475
58045145	1918	289475
106523317	11955	289475
106875299	21236	79352
97330035	17751	392002
117751034	20151	1573633
119093866	2180	1546323
94398451	14765	961
158245128	9658	353811
108661983	17061	982279
163854265	5859	1339714
122437685	22848	1173787
148746875	22277	725979
106772310	21681	668938
119054690	206	297050
168292424	22472	1365822
83812603	18381	476813
125890729	5705	227317
156972052	15558	968396
146401434	17449	1361303
109247719	17387	1138176
106773052	21236	1098920
108923900	7140	475138
84799315	199	1244606
125848777	22848	927805
108630306	17525	565042
133658343	17025	565042
177845098	20891	565042
146001099	18238	565042
44398762861	19873	269874
44398762862	19873	269874
44398762863	19873	269874
44398762864	19873	269874
133866936	1131	181210
108715738	23038	433858
137994249	18496	82740
165256689	18811	82740
56431689	21697	82740
95753918	5772	1390005
56158190	840	216505
106775052	21277	450075
96589531	10605	912645
64848463	5705	565042
164459254	15642	138857
81041409	10162	219032
81041413	18011	219032
115481919	199	697577
115453057	199	697577
124648915	5705	697577
145012395	21384	1281259
114333513	12622	293678
98745040	15053	178662
80902374	17515	1154589
93822417	913	900924
107700508	15642	966019
73519154	21277	912645
69715061	16646	166673
69715062	16646	166673
73806466	16646	166673
73806467	16646	166673
107726900	4765	968189
96715320	199	471231
134322279	7228	924960
75082383	913	512015
107748159	19644	1566666
61857641	17797	1020878
93732379	1301	166380
125289769	19870	103189
125289770	19870	103189
109697236	8033	680335
162707309	4844	900539
107734316	770	97583
145121727	5772	84153
161896944	5772	84153
104322313	215	77465
134549991	18065	77465
97274988	18065	77465
118960199	21168	634787
106860247	19342	405450
151187670	10605	59108
109176846	15053	1163341
74873304	23252	4877
164391609	21990	654019
115123077	12490	601540
93968890	1264	1012762
110746763	20013	282121
136233715	23629	427729
152580222	12490	238984
89646750	14880	1364662
57604395	22252	1364662
166047282	21775	975477
179631990	880	943683
169373723	10931	294230
81392452	7860	1153696
92904581	7948	153732
162881987	11100	153732
170536106	8306	1574287
91475146	949	766454
91475164	949	766454
146714991394	23496	147477
155244253	8245	1314198
155911520	10721	761399
107767820	7140	277587
74652641	1161	653464
125848777	22848	205153
116133389	5398	650847
115516039	17260	650847
145842113540	15411	251107
105816156	1131	1574757
69087090	10605	1234658
183749671	17751	605384
107720158	10640	565028
105323216	4765	1477752
105306558	4765	1477752
91917964	10605	1574758
145223777	18384	133528
118161390	21192	1020878
145848234	6148	1276299
122339202	22782	1276299
7106861506	18065	71324
103957504	5617	965055
122087050	22277	325884
119856730	6835	1234658
138539778	155	1234658
132875036	16789	1234658
111451677	4169	98066
95043092	13462	605384
74332566	5398	1156229
67857236	7948	912645
76037950	11732	912645
138724440	11102	1256927
107719325	20409	82740
107675235	7948	82740
74437858	23574	82740
84784071	10068	82740
106716340	23540	661796
107527330	13309	333364
128975385	20549	1311256
98297639	18350	511391
106829477	15191	403426
97100384	8981	138925
75713368	17317	106774
75713370	16359	106774
88233167	4765	502689
96682569	6266	507765
117592802	152	405450
96597574	21857	886514
108778920	2821	396337
106452026	880	396337
124704505	20409	131822
85646703	18492	97
69106095	15974	141422
164493390	11474	912645
157142175	14023	837020
142953618	17449	802580
106858736	2671	170229
162243833	17524	1574660
152611501	16924	87098
159162149	11919	458246
91898245	22102	959958
165869795	21990	720995
149787287	794	711073
74626369	21697	711073
133401819	6076	714105
106784756	5731	198535
106776785	16629	198535
150377991	9687	1268749
106772537	13145	1341741
118895241	23387	217640
118895267	13145	217640
116683382	17751	494478
93731805	13778	309799
180364446	6326	1384991
144985714	18190	912645
163515619	15411	1023089
106765726	20326	1283938
156788393	20631	238049
107722389	19644	800347
133594807	21510	800347
163110119	23008	800347
163110119	23498	800347
164308130	22826	800347
137888567	20114	800347
137888567	20114	800347
107732524	21165	800347
145664982	18410	1276381
140775350	18350	311191
79135122	4765	169524
70570462	21046	1200039
117912440	9830	1200039
64761642	17954	9727
64553163	9910	9727
164358561	913	450075
61907025	21510	1541671
107942638	19644	1344274
110319050	14456	1174371
107718567	13145	912645
168532609	18065	912645
162192019	22889	912645
159200412	22489	1057480
157148937	20959	900539
79544914	21697	995513
66958092	16606	995513
168699706	16302	937291
